East Anglia,276,148,0.54,0.52
EBH,278,166,0.60,0.59
LNR,177,100,0.56,0.55
North London,581,1510,2.60,3.02
North West of England,826,966,1.17,1.18
Northern Ireland,238,202,0.85,0.85
Northern,331,261,0.79,0.78
Oxford,230,325,1.41,1.43
Peninsula,206,169,0.82,0.82
Scotland,913,823,0.90,0.90
Severn,277,364,1.31,1.32
South Thames,837,850,1.02,1.02
Trent,333,179,0.54,0.52
Wales,405,210,0.52,0.50
Wessex,316,226,0.72,0.71
West Midlands Central,195,254,1.30,1.36
West Midlands North,249,100,0.40,0.39
West Midlands South,173,86,0.50,0.49
Yorkshire and Humber,564,466,0.83,0.81
